image,region,version,tone_evenness_score
00259.png,forehead,a_degradation_17,0.1366911818361497
00259.png,under-eyes,a_degradation_17,0.13532775553873957
00264.png,left-cheek,original_roi,0.29192419520343943
00264.png,right-cheek,original_roi,0.3359909554650273
00264.png,bottom-face,original_roi,0.16183725636634508
00264.png,forehead,original_roi,0.26808949187252834
00264.png,under-eyes,original_roi,0.2379036769072059
00264.png,left-cheek,a_degradation_11,0.2902174896151583
00264.png,right-cheek,a_degradation_11,0.3209145490501952
00264.png,bottom-face,a_degradation_11,0.15937016187836914
00264.png,forehead,a_degradation_11,0.254776673103037
00264.png,under-eyes,a_degradation_11,0.22464551556055146
00264.png,left-cheek,a_degradation_17,0.2611940413527569
00264.png,right-cheek,a_degradation_17,0.274041552988269
00264.png,bottom-face,a_degradation_17,0.14980290969668278
00264.png,forehead,a_degradation_17,0.23766237094640436
00264.png,under-eyes,a_degradation_17,0.21575158134665448
00267.png,left-cheek,original_roi,0.18901663476389657
00267.png,right-cheek,original_roi,0.1991749890435578
00267.png,bottom-face,original_roi,0.24985990407320136
00267.png,forehead,original_roi,0.270229790455981
00267.png,under-eyes,original_roi,0.2641135034743096
00267.png,left-cheek,a_degradation_11,0.1931318915091855
00267.png,right-cheek,a_degradation_11,0.20508381878135706
00267.png,bottom-face,a_degradation_11,0.24349582894780036
00267.png,forehead,a_degradation_11,0.2513305441779568
00267.png,under-eyes,a_degradation_11,0.2535966048886768
00267.png,left-cheek,a_degradation_17,0.191451379735368
00267.png,right-cheek,a_degradation_17,0.1973931850598477
00267.png,bottom-face,a_degradation_17,0.2216285340618691
