image,region,version,evenness_score
00175.png,left-cheek,smooth_2_sigma_2.5,0.004434232793844969
00175.png,right-cheek,smooth_2_sigma_2.5,0.0034637230208214758
00175.png,bottom-face,smooth_2_sigma_2.5,0.004078307313169059
00175.png,forehead,smooth_2_sigma_2.5,0.003813875304498798
00175.png,under-eyes,smooth_2_sigma_2.5,0.004031419161055274
00189.png,left-cheek,original_roi,0.007298246067299582
00189.png,right-cheek,original_roi,0.005215259075267048
00189.png,bottom-face,original_roi,0.006068170974022761
00189.png,forehead,original_roi,0.0045727913819181955
00189.png,under-eyes,original_roi,0.006382848898548047
00189.png,left-cheek,smooth_1_sigma_1.5,0.007786362474160198
00189.png,right-cheek,smooth_1_sigma_1.5,0.005563250968280699
00189.png,bottom-face,smooth_1_sigma_1.5,0.006894994694970529
00189.png,forehead,smooth_1_sigma_1.5,0.004998510196785425
00189.png,under-eyes,smooth_1_sigma_1.5,0.006935011777752851
00189.png,left-cheek,smooth_2_sigma_2.5,0.007878252961176786
00189.png,right-cheek,smooth_2_sigma_2.5,0.005615881838477583
00189.png,bottom-face,smooth_2_sigma_2.5,0.00702468581993672
00189.png,forehead,smooth_2_sigma_2.5,0.005066379546572134
00189.png,under-eyes,smooth_2_sigma_2.5,0.007149722721836007
00197.png,left-cheek,original_roi,0.004076708268017582
00197.png,right-cheek,original_roi,0.0036396500177387535
00197.png,bottom-face,original_roi,0.004020860106088294
00197.png,forehead,original_roi,0.004120587578271637
00197.png,under-eyes,original_roi,0.004547890438803055
00197.png,left-cheek,smooth_1_sigma_1.5,0.004157182806122003
00197.png,right-cheek,smooth_1_sigma_1.5,0.0037708309882536835
00197.png,bottom-face,smooth_1_sigma_1.5,0.004116773870123556
00197.png,forehead,smooth_1_sigma_1.5,0.0042816634865914
00197.png,under-eyes,smooth_1_sigma_1.5,0.004801711534746585
00197.png,left-cheek,smooth_2_sigma_2.5,0.004178909838499138
00197.png,right-cheek,smooth_2_sigma_2.5,0.0037950452768361984
00197.png,bottom-face,smooth_2_sigma_2.5,0.004140448568542136
00197.png,forehead,smooth_2_sigma_2.5,0.004319035405924958
00197.png,under-eyes,smooth_2_sigma_2.5,0.004889241148037372
00232.png,left-cheek,original_roi,0.006545186612591094
00232.png,right-cheek,original_roi,0.005640643909463022
00232.png,bottom-face,original_roi,0.007436514973867739
00232.png,forehead,original_roi,0.005527320121871395
00232.png,under-eyes,original_roi,0.004803230556596676
00232.png,left-cheek,smooth_1_sigma_1.5,0.007178618893131002
00232.png,right-cheek,smooth_1_sigma_1.5,0.005997774314917134
00232.png,bottom-face,smooth_1_sigma_1.5,0.007958352848210521
00232.png,forehead,smooth_1_sigma_1.5,0.005891356194226014
00232.png,under-eyes,smooth_1_sigma_1.5,0.005631006332221217
00232.png,left-cheek,smooth_2_sigma_2.5,0.0074314933195429415
00232.png,right-cheek,smooth_2_sigma_2.5,0.006097263613993862
00232.png,bottom-face,smooth_2_sigma_2.5,0.008097905290252533
00232.png,forehead,smooth_2_sigma_2.5,0.006110767195330351
00232.png,under-eyes,smooth_2_sigma_2.5,0.006471322673279292
00251.png,left-cheek,original_roi,0.004768731706491589
00251.png,right-cheek,original_roi,0.004401327646421463
